steps,time,avgTime,size,density,edges
151815,2458692,16,18000,0.5,81001858
161968,2667699,16,19000,0.5,90254826
171616,3008475,17,20000,0.5,99992189
181055,3135447,17,21000,0.5,110244968
190400,3118778,16,22000,0.5,121000105
